Index,ID,SourceName,CODICE_COMMITTENTE,ALIQUOTA_IVA,DATA,P_IVA,UNITAMISURA,IMPORTO_TOTALE_DOCUMENTO,NUMERO,TIPO_DOCUMENTO,RAGIONE_SOCIALE,SEDE_INDIRIZZO_CESSIONARIO,QUANTITA,DESCRIZIONE,IMPONIBILE_IMPORTO,PREZZO_UNITARIO,CATEGORIA
1594,1594,IT0995751096000m3y_4oz9p,09247360960,22,2024-11-26,09957510960,KWH,26.24,4995958,TD01,BE CHARGE S.R.L.,VIA STENDHAL,29.15,"Sessione di ricarica in Via Stendhal, 30, Milano da 24/11/2024 17:22 a 24/11/2024 22:51 (H000009-3)",21.51,0.737882,Carburante
1595,1595,IT0995751096000m43_ypff2,09247360960,22,2024-11-30,09957510960,KWH,36.5,5005944,TD01,BE CHARGE S.R.L.,VIA STENDHAL,46.2,"Sessione di ricarica in Via Digione, 9 da 30/11/2024 01:40 a 30/11/2024 10:19 (806)",29.92,0.647619,Carburante
1596,1596,IT12277900960_HV23N,09247360960,10,2024-11-01,12277900960,PZ,43.06,49540481GA,TD01,CAMMISCIA SRL,via stendhal 30,15.0,FARINATA DI CECI GENOVESE TDI,39.15,7.4,Food
1597,1597,IT12277900960_HV23O,09247360960,10,2024-11-02,12277900960,PZ,48.51,49540483GA,TD01,CAMMISCIA SRL,via stendhal 30,1.0,FOCACCIA LIGURIA C FORM TDI,0.54,5.94,Food
1598,1598,IT12277900960_HV23O,09247360960,10,2024-11-02,12277900960,PZ,48.51,49540483GA,TD01,CAMMISCIA SRL,via stendhal 30,8.0,FOCACCIA LIGURIA C FORM TDI,43.56,5.445,Food
1599,1599,IT12277900960_HV23R,09247360960,22,2024-11-04,12277900960,PZ,4.57,49540486GA,TD01,CAMMISCIA SRL,via stendhal 30,1.0,CEROTTI ASS TRASP CON GARZA,1.96,1.96,Altre Forniture
1600,1600,IT12277900960_HV23R,09247360960,4,2024-11-04,12277900960,PZ,4.57,49540486GA,TD01,CAMMISCIA SRL,via stendhal 30,1.0,LATTE UHT INT  1 LT CARREFOUR,1.05,1.05,Food
1601,1601,IT12277900960_HV23R,09247360960,4,2024-11-04,12277900960,PZ,4.57,49540486GA,TD01,CAMMISCIA SRL,via stendhal 30,1.0,LATTE UHT INT  1 LT CARREFOUR,1.05,1.05,Food
1602,1602,IT12277900960_HV23Y,09247360960,10,2024-11-07,12277900960,PZ,9.32,49540493GA,TD01,CAMMISCIA SRL,via stendhal 30,1.0,MENTA T V GR 20,1.26,1.26,Food
1603,1603,IT12277900960_HV23Y,09247360960,10,2024-11-07,12277900960,PZ,9.32,49540493GA,TD01,CAMMISCIA SRL,via stendhal 30,1.0,MENTA T V GR 20,1.26,1.26,Food
1604,1604,IT12277900960_HV23Y,09247360960,10,2024-11-07,12277900960,PZ,9.32,49540493GA,TD01,CAMMISCIA SRL,via stendhal 30,1.0,TAV EXCELLENCE 78,2.95,2.95,Altre Forniture
1605,1605,IT12277900960_HV23Y,09247360960,22,2024-11-07,12277900960,PZ,9.32,49540493GA,TD01,CAMMISCIA SRL,via stendhal 30,1.0,BICARBONATO SOLVAY BARATT,2.7,2.7,Food
1606,1606,IT12277900960_HV24C,09247360960,10,2024-11-10,12277900960,PZ,43.06,49540497GA,TD01,CAMMISCIA SRL,via stendhal 30,1.0,FARINATA DI CECI GENOVESE TDI,-1.45,3.34,Food
1607,1607,IT12277900960_HV24C,09247360960,10,2024-11-10,12277900960,PZ,43.06,49540497GA,TD01,CAMMISCIA SRL,via stendhal 30,14.0,FARINATA DI CECI GENOVESE TDI,40.6,2.9,Food
1608,1608,IT12277900960_HV24G,09247360960,10,2024-11-13,12277900960,PZ,54.26,49540501GA,TD01,CAMMISCIA SRL,via stendhal 30,20.0,FARINATA DI CECI GENOVESE TDI,46.96,14.488,Food
1609,1609,IT12277900960_HV24G,09247360960,10,2024-11-13,12277900960,PZ,54.26,49540501GA,TD01,CAMMISCIA SRL,via stendhal 30,1.0,LINGUE DI GATTO,2.36,2.95,Food
1610,1610,IT12277900960_HV254,09247360960,5,2024-11-18,12277900960,PZ,3.87,49540513GA,TD01,CAMMISCIA SRL,via stendhal 30,1.0,BASILICO T V  GR30,1.61,1.61,Food
1611,1611,IT12277900960_HV254,09247360960,4,2024-11-18,12277900960,PZ,3.87,49540513GA,TD01,CAMMISCIA SRL,via stendhal 30,1.0,LATTE UHT INT  1 LT CARREFOUR,1.05,1.05,Food
1612,1612,IT12277900960_HV254,09247360960,4,2024-11-18,12277900960,PZ,3.87,49540513GA,TD01,CAMMISCIA SRL,via stendhal 30,1.0,LATTE UHT INT  1 LT CARREFOUR,1.05,1.05,Food
1613,1613,IT12277900960_HV256,09247360960,4,2024-11-19,12277900960,PZ,3.25,49540515GA,TD01,CAMMISCIA SRL,via stendhal 30,1.0,POMOD  CILIEGINO GR 500,3.13,3.13,Food
1614,1614,IT12277900960_HV25H,09247360960,10,2024-11-23,12277900960,PZ,74.83,49540526GA,TD01,CAMMISCIA SRL,via stendhal 30,13.0,FOCACCIA LIGURIA C FORM TDI,66.9,13.326154,Food
1615,1615,IT12277900960_HV25H,09247360960,4,2024-11-23,12277900960,PZ,74.83,49540526GA,TD01,CAMMISCIA SRL,via stendhal 30,1.0,RAVANELLI SNACK GR200,1.19,1.33,Food
1616,1616,IT12277900960_HV25P,09247360960,4,2024-11-29,12277900960,PZ,2.09,49540534GA,TD01,CAMMISCIA SRL,via stendhal 30,1.0,LATTE CLAM PS 1 LT,2.01,2.01,Food
1617,1617,IT12277900960_HV25S,09247360960,4,2024-11-30,12277900960,PZ,11.07,49540537GA,TD01,CAMMISCIA SRL,via stendhal 30,1.0,CAPRINO DELLA LOMBARDIA TDI,3.55,3.55,Food
1618,1618,IT12277900960_HV25S,09247360960,4,2024-11-30,12277900960,PZ,11.07,49540537GA,TD01,CAMMISCIA SRL,via stendhal 30,1.0,CAPRINO DELLA LOMBARDIA TDI,3.55,3.55,Food
1619,1619,IT12277900960_HV25S,09247360960,4,2024-11-30,12277900960,PZ,11.07,49540537GA,TD01,CAMMISCIA SRL,via stendhal 30,1.0,CAPRINO DELLA LOMBARDIA TDI,3.55,3.55,Food
1621,1621,ITMRLMRA65P24B639D_002D1,09247360960,22,2024-11-21,02456440136,,2000.0,483490,TD06,MARELLI MAURO,VIA STENDHAL ENRICO 30,,"Quinto acconto indennità e onorari per attività continuative, secondo quanto previsto da mandato professionale e successive richieste integrative.",400.0,400.0,Commercialista
1623,1623,ITMRLMRA65P24B639D_002D1,09247360960,0,2024-11-21,02456440136,,2000.0,483490,TD06,MARELLI MAURO,VIA STENDHAL ENRICO 30,,Anticipazioni per diritti Cciaa/R.I. Deposito bilancio pratica protocollo 620920,127.4,127.4,Spese Amministrative
1624,1624,ITMRLMRA65P24B639D_002D1,09247360960,22,2024-11-21,02456440136,,2000.0,483490,TD06,MARELLI MAURO,VIA STENDHAL ENRICO 30,,"Sesto acconto indennità e onorari per attività continuative, secondo quanto previsto da mandato professionale e successive richieste integrative.",400.0,400.0,Professionisti
1626,1626,ITMRLMRA65P24B639D_002D1,09247360960,22,2024-11-21,02456440136,,2000.0,483490,TD06,MARELLI MAURO,VIA STENDHAL ENRICO 30,,Acconto su onorari - acconto su avviso di parcella 223 del 1-10-2024,675.88,675.88,Commercialista
1628,1628,NL10209790152_HhIXD,09247360960,22,2024-11-30,06433300966,n,1786.08,541027,TD01,MILANOVINO S.R.L.,VIA STENDHAL 30,12.0,COMPARINI - RINNEGATO bio,114.0,9.5,Beverage
1629,1629,NL10209790152_HhIXD,09247360960,22,2024-11-30,06433300966,n,1786.08,541027,TD01,MILANOVINO S.R.L.,VIA STENDHAL 30,12.0,LA MARCA DI S. MICHELE - BASTIAN CONTRARIO bio,123.6,10.3,Beverage
1630,1630,NL10209790152_HhIXD,09247360960,22,2024-11-30,06433300966,n,1786.08,541027,TD01,MILANOVINO S.R.L.,VIA STENDHAL 30,12.0,"VALLE DELL'ACATE - SYRAH ""BELLIFOLLI""",82.8,6.9,Beverage
1631,1631,NL10209790152_HhIXD,09247360960,22,2024-11-30,06433300966,n,1786.08,541027,TD01,MILANOVINO S.R.L.,VIA STENDHAL 30,24.0,LA FARRA - PROSECCO DOC TREVISO EXTRA DRY,136.8,5.7,Beverage
1632,1632,NL10209790152_HhIXD,09247360960,22,2024-11-30,06433300966,n,1786.08,541027,TD01,MILANOVINO S.R.L.,VIA STENDHAL 30,6.0,"DI SANTE - ROSATO MARCHE ""ILLA"" bio",33.6,5.6,Beverage
1633,1633,NL10209790152_HhIXD,09247360960,22,2024-11-30,06433300966,n,1786.08,541027,TD01,MILANOVINO S.R.L.,VIA STENDHAL 30,36.0,LA FARRA - PROSECCO DOC TREVISO EXTRA DRY,205.2,5.7,Beverage
1634,1634,NL10209790152_HhIXD,09247360960,22,2024-11-30,06433300966,n,1786.08,541027,TD01,MILANOVINO S.R.L.,VIA STENDHAL 30,12.0,"LA MARCA DI S. MICHELE - VERDICCHIO ""CAPOVOLTO"" bio",123.6,10.3,Beverage
1635,1635,NL10209790152_HhIXD,09247360960,22,2024-11-30,06433300966,n,1786.08,541027,TD01,MILANOVINO S.R.L.,VIA STENDHAL 30,12.0,"COMPARINI - CHARDONNAY ""POGGIMELE""",126.0,10.5,Beverage
1636,1636,NL10209790152_HhIXD,09247360960,22,2024-11-30,06433300966,n,1786.08,541027,TD01,MILANOVINO S.R.L.,VIA STENDHAL 30,12.0,COMPARINI - RINNEGATO bio,114.0,9.5,Beverage
1637,1637,NL10209790152_HhIXD,09247360960,22,2024-11-30,06433300966,n,1786.08,541027,TD01,MILANOVINO S.R.L.,VIA STENDHAL 30,12.0,"BALDISSERO - BARBERA D'ALBA ""GALE'""",106.8,8.9,Beverage
1638,1638,NL10209790152_HhIXD,09247360960,22,2024-11-30,06433300966,n,1786.08,541027,TD01,MILANOVINO S.R.L.,VIA STENDHAL 30,12.0,"DI SANTE - ROSATO MARCHE ""ILLA"" bio",67.2,5.6,Beverage
1639,1639,NL10209790152_HhIXD,09247360960,22,2024-11-30,06433300966,n,1786.08,541027,TD01,MILANOVINO S.R.L.,VIA STENDHAL 30,12.0,LA MARCA DI S. MICHELE - BASTIAN CONTRARIO bio,123.6,10.3,Beverage
1640,1640,NL10209790152_HhIXD,09247360960,22,2024-11-30,06433300966,n,1786.08,541027,TD01,MILANOVINO S.R.L.,VIA STENDHAL 30,12.0,"BALDISSERO - BARBERA D'ALBA ""GALE'""",106.8,8.9,Beverage
1642,1642,IT01228510416_8VH6Q,09247360960,22,2024-12-27,01228510416,PZ,215.29,IMA0188619,TD01,Caffe' Pascucci Torrefazione S.p.a.,VIA STENDHAL 30,18.0,CAPS CAFFE' MILD PROFESSIONAL PLUS 25 pz,176.472,10.32,Caffè
1643,1643,IT01378570350_jh3Gi,09247360960,4,2024-12-20,04916380159,Num.,27.42,2544015528,TD01,Esselunga S.p.A.   ,VIA STENDHAL 30,2.0,BIS JULIENNE NATURAMA-GR  300,2.27,1.135,Food
1644,1644,IT01378570350_jh3Gi,09247360960,4,2024-12-20,04916380159,Num.,27.42,2544015528,TD01,Esselunga S.p.A.   ,VIA STENDHAL 30,6.0,INS. ALLEGRA  NAT.-GR  200,11.42,1.903333,Food
1645,1645,IT01378570350_jh3Gi,09247360960,10,2024-12-20,04916380159,Num.,27.42,2544015528,TD01,Esselunga S.p.A.   ,VIA STENDHAL 30,1.0,CESTO 178400 ARMONIA DOLCE IVA 10-UN    1-178400 CONFEZ.ARMONIA DOLCE,8.8,8.8,Food
1646,1646,IT01378570350_jh3Gi,09247360960,22,2024-12-20,04916380159,Num.,27.42,2544015528,TD01,Esselunga S.p.A.   ,VIA STENDHAL 30,1.0,CESTO 178400 ARMONIA DOLCE IVA 22-UN    1-178400 CONFEZ.ARMONIA DOLCE,2.71,2.71,Food
1647,1647,IT01378570350_jh3Gi,09247360960,22,2024-12-20,04916380159,Num.,27.42,2544015528,TD01,Esselunga S.p.A.   ,VIA STENDHAL 30,2.0,SHOPPER-UN    1,0.16,0.08,Altre Forniture
1649,1649,IT016417907022024b_0cLEv,09247360960,22,2024-12-03,02223530060,,1130.33,SXK0Q,TD01,Birrificio Civale srl,"VIA STENDHAL, 30",11.0,"BIRRA ""STANDHALINA"" BEER GALLERY MODERN IPA  (mezza cotta) (rif ns Eureka)",924.0,84.0,Beverage
1650,1650,IT016417907022024b_0cLEv,09247360960,22,2024-12-03,02223530060,,1130.33,SXK0Q,TD01,Birrificio Civale srl,"VIA STENDHAL, 30",,Spese d'incasso,2.5,2.5,Spese Bancarie
1652,1652,IT016417907022024n_0cLJJ,09247360960,22,2024-12-03,02223530060,pz,1130.33,SXK0P,TD04,Birrificio Civale srl,"VIA STENDHAL, 30",11.0,Fusto Standhalina 24Lt PK,924.0,84.0,Beverage
1653,1653,IT016417907022024n_0cLJJ,09247360960,22,2024-12-03,02223530060,,1130.33,SXK0P,TD04,Birrificio Civale srl,"VIA STENDHAL, 30",1.0,storno spese di incasso,2.5,2.5,Spese Bancarie
1654,1654,IT01879020517A2024_h1icZ,09247360960,0,2024-12-13,11690860967,,362.0,71,TD01,MALINVERNI PAOLO ENRICO,VIA ENRICO STENDHAL,1.0,Realizzazione sottobicchieri rotondi,180.0,180.0,Marketing
1655,1655,IT01879020517A2024_h1icZ,09247360960,0,2024-12-13,11690860967,,362.0,71,TD01,MALINVERNI PAOLO ENRICO,VIA ENRICO STENDHAL,1.0,Realizzazione sottobicchieri quadrati,180.0,180.0,Marketing
1656,1656,IT01879020517A2024_h1icZ,09247360960,0,2024-12-13,11690860967,,362.0,71,TD01,MALINVERNI PAOLO ENRICO,VIA ENRICO STENDHAL,1.0,Imposta di bollo assolta in modo virtuale ai sensi dell'articolo 15 del d.p.r. 642/1972 e del DM 17/06/2014.,2.0,2.0,Spese Amministrative
1657,1657,IT02355260981_U8stn,09247360960,22,2024-12-06,05602640962,,27.05,U8stn,TD01,Bricocenter Italia S.r.l.,VIA STENDHAL 30,1.0,PROLUNGA,14.34,14.34,Altre Forniture
1658,1658,IT02355260981_U8stn,09247360960,22,2024-12-06,05602640962,,27.05,U8stn,TD01,Bricocenter Italia S.r.l.,VIA STENDHAL 30,1.0,FASCETTE,4.18,4.18,Altre Forniture
1659,1659,IT02355260981_U8stn,09247360960,22,2024-12-06,05602640962,,27.05,U8stn,TD01,Bricocenter Italia S.r.l.,VIA STENDHAL 30,1.0,ADATTATORE,3.65,3.65,Altre Forniture
1660,1660,IT02355260981_UFioS,09247360960,22,2024-12-15,05602640962,,10.6,UFioS,TD01,Bricocenter Italia S.r.l.,VIA STENDHAL 30,1.0,CHIODO,2.3,2.3,Altre Forniture
1661,1661,IT02355260981_UFioS,09247360960,22,2024-12-15,05602640962,,10.6,UFioS,TD01,Bricocenter Italia S.r.l.,VIA STENDHAL 30,1.0,ACCENDINO,1.89,1.89,Altre Forniture
1662,1662,IT02355260981_UFioS,09247360960,22,2024-12-15,05602640962,,10.6,UFioS,TD01,Bricocenter Italia S.r.l.,VIA STENDHAL 30,1.0,ADATTATORE,4.51,4.51,Altre Forniture
1663,1663,IT03336420967_nfcg7,09247360960,22,2024-12-06,02144350069,NR,170.8,0039347143,TD01,BIRRIFICIO HENQUET DI NADAL PIERINO & C.SAS,VIA ENRICO STENDHAL 30,2.0,Fusto di Birra Pils  20 litri lotto 09424 scadenza 15/02//2025,140.0,70.0,Beverage
1667,1667,IT04107060966_9acs0,09247360960,22,2024-12-03,10542790968,NR,21.96,007-571893,TD01,Nexi Payments SpA,VIA ENRICO STENDHAL 30,1.0,Canone SmartPOS Mini con stampante - NOVEMBRE  '24   TID:92430019,18.0,18.0,Software
1668,1668,IT04157540966_9n685,09247360960,10,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,6.0,G160 BATTUTA BOVINO AD.SKIN,13.74,2.29,Food
1669,1669,IT04157540966_9n685,09247360960,4,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,G500 MASCARPONE STERILGARDA,3.79,3.79,Food
1670,1670,IT04157540966_9n685,09247360960,22,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,CL 70 TANQUERAY 0.0,9.49,9.49,Beverage
1671,1671,IT04157540966_9n685,09247360960,22,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,CL 70MEZCAL ENCANTADO 43.,27.49,27.49,Beverage
1672,1672,IT04157540966_9n685,09247360960,10,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,G800 SALSA TONN TD MC,6.15,6.15,Food
1673,1673,IT04157540966_9n685,09247360960,4,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,0.81,CAV. CAPP. B. CS FILM (IT I),1.61,1.99,Food
1674,1674,IT04157540966_9n685,09247360960,4,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,0.91,CAV. CAPP. B. CS FILM (IT I),1.81,1.99,Food
1675,1675,IT04157540966_9n685,09247360960,4,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,G510 PANBURGER PRET. 6X85G MC,2.42,2.42,Food
1676,1676,IT04157540966_9n685,09247360960,4,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,G510 PANBURGER PRET. 6X85G MC,2.42,2.42,Food
1677,1677,IT04157540966_9n685,09247360960,4,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,G510 PANBURGER PRET. 6X85G MC,2.42,2.42,Food
1678,1678,IT04157540966_9n685,09247360960,4,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,G510 PANBURGER PRET. 6X85G MC,2.42,2.42,Food
1679,1679,IT04157540966_9n685,09247360960,10,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,G250BISC.GRANCEREALE DIGESTIVE,1.74,1.74,Food
1680,1680,IT04157540966_9n685,09247360960,10,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,G250BISC.GRANCEREALE DIGESTIVE,1.74,1.74,Food
1681,1681,IT04157540966_9n685,09247360960,10,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,G250BISC.GRANCEREALE DIGESTIVE,1.74,1.74,Food
1682,1682,IT04157540966_9n685,09247360960,10,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,G250BISC.GRANCEREALE DIGESTIVE,1.74,1.74,Food
1683,1683,IT04157540966_9n685,09247360960,10,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,"KG2,5 FIL PETTO POLLO PREC MC",20.29,20.29,Food
1684,1684,IT04157540966_9n685,09247360960,10,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,KG1 PULLED PORK IQF SURGELATO,16.39,16.39,Food
1685,1685,IT04157540966_9n685,09247360960,10,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,G500  RITAGLI SALMONE AFFUMIC.,6.29,6.29,Food
1686,1686,IT04157540966_9n685,09247360960,10,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,G800SALSA GUACA MC,8.99,8.99,Food
1687,1687,IT04157540966_9n685,09247360960,10,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,G800SALSA GUACA MC,8.99,8.99,Food
1688,1688,IT04157540966_9n685,09247360960,10,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,ML875SALSA CLASSIC BURGER HEIN,4.39,4.39,Food
1689,1689,IT04157540966_9n685,09247360960,10,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,ML875SALSA CLASSIC BURGER HEIN,4.39,4.39,Food
1690,1690,IT04157540966_9n685,09247360960,22,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,CL50 ACQUA FRIZ.S.BENEDET.PET,3.12,3.12,Beverage
1691,1691,IT04157540966_9n685,09247360960,22,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,CL50 ACQUA NAT.S.BENEDET.PET,3.12,3.12,Beverage
1692,1692,IT04157540966_9n685,09247360960,22,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,CL50 ACQUA NAT.S.BENEDET.PET,3.12,3.12,Beverage
1693,1693,IT04157540966_9n685,09247360960,10,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,"KG2,5 CRUNCHY PETALS MC CAIN",6.99,6.99,Food
1694,1694,IT04157540966_9n685,09247360960,10,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,"KG2,5 CRUNCHY PETALS MC CAIN",6.99,6.99,Food
1695,1695,IT04157540966_9n685,09247360960,10,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,"KG2,5 CRUNCHY PETALS MC CAIN",6.99,6.99,Food
1696,1696,IT04157540966_9n685,09247360960,4,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,KG1 52 FETTINE CHEDDAR,7.59,7.59,Food
1697,1697,IT04157540966_9n685,09247360960,4,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,KG1 52 FETTINE CHEDDAR,7.59,7.59,Food
1698,1698,IT04157540966_9n685,09247360960,4,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,KG1 52 FETTINE CHEDDAR,7.59,7.59,Food
1699,1699,IT04157540966_9n685,09247360960,4,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,KG1 52 FETTINE CHEDDAR,7.59,7.59,Food
1700,1700,IT04157540966_9n685,09247360960,10,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,"KG1,8 PARMIGIANA MELANZANE",21.92,21.92,Food
1701,1701,IT04157540966_9n685,09247360960,10,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,"KG1,8 PARMIGIANA MELANZANE",21.92,21.92,Food
1702,1702,IT04157540966_9n685,09247360960,10,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,"KG2,5 LASAGNE BOLOGNESE MC",13.39,13.39,Food
1703,1703,IT04157540966_9n685,09247360960,10,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,"KG2,5 LASAGNE BOLOGNESE MC",13.39,13.39,Food
1704,1704,IT04157540966_9n685,09247360960,4,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,LT1 LATTE UHT INTERO MC,1.18,1.18,Food
1705,1705,IT04157540966_9n685,09247360960,4,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,LT1 LATTE UHT INTERO MC,1.18,1.18,Food
1706,1706,IT04157540966_9n685,09247360960,4,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,KG1 BURRO ARO*,9.49,9.49,Food
1707,1707,IT04157540966_9n685,09247360960,4,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,G500 MASCARPONE STERILGARDA,3.79,3.79,Food
1708,1708,IT04157540966_9n685,09247360960,4,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,G500 MASCARPONE STERILGARDA,3.79,3.79,Food
1709,1709,IT04157540966_9n685,09247360960,4,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,KG1 AVOCADO A CUBI MC,5.29,5.29,Food
1710,1710,IT04157540966_9n685,09247360960,4,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,KG1 AVOCADO A CUBI MC,5.29,5.29,Food
1711,1711,IT04157540966_9n685,09247360960,10,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,12.0,G450 TORTILLA NATURAL XL AMICA,46.32,3.86,Food
1712,1712,IT04157540966_9n685,09247360960,4,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,CAROTE VS 1KG (IT I),1.59,1.59,Food
1713,1713,IT04157540966_9n685,09247360960,4,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,G500 MISTICANZA VASCHETTA MC,5.59,5.59,Food
1714,1714,IT04157540966_9n685,09247360960,4,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,G500 MISTICANZA VASCHETTA MC,5.59,5.59,Food
1715,1715,IT04157540966_9n685,09247360960,4,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,"KG1,5 FORM SPALM FR ERBE ALPIG",9.43,9.43,Food
1716,1716,IT04157540966_9n685,09247360960,4,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,G800 WHITE CHEESE CUBETTI ALBA,8.93,8.93,Food
1717,1717,IT04157540966_9n685,09247360960,4,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.61,PROVOLONE AFFUM VIRGILIO KG2CA,19.63,12.19,Food
1718,1718,IT04157540966_9n685,09247360960,10,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,KG 1 HUMMUS DI CECI,10.15,10.15,Food
1719,1719,IT04157540966_9n685,09247360960,10,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,KG 1 HUMMUS DI CECI,10.15,10.15,Food
1720,1720,IT04157540966_9n685,09247360960,10,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,KG 1 HUMMUS DI CECI,10.15,10.15,Food
1721,1721,IT04157540966_9n685,09247360960,10,2024-12-09,02827030962,,538.52,9n685,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.504,FINOCCHIONA IGP 1/2 KG1.5CA SV,17.13,11.39,Food
