RAGIONE_SOCIALE,DESCRIZIONE,CATEGORIA
BIRRONE S.A.R.L ,"BIRRA HEAVEN, 1 FUSTO DA 24LP (LOTTO 25/11/24)",Beverage
BIRRONE S.A.R.L ,BIRRA MARANEA IN BOTT DA 0.5L (LOTTO 26/04/25),Beverage
BIRRONE S.A.R.L ,BIRRA MARANEA IN BOTT DA 0.5L (LOTTO 25/05/25),Beverage
BIRRONE S.A.R.L ,"BIRRA PG , 2 FUSTI DA 24LP (LOTTO 28/01/25)",Beverage
BIRRONE S.A.R.L ,"BIRRA PG , 2 FUSTI DA 24LP (LOTTO 12/05/25)",Beverage
BIRRONE S.A.R.L ,Rif. DDT n. 3911 del 24/10/2024,Beverage
BIRRONE S.A.R.L ,IN RIF FT N. 1938 del 10/07/2024,Beverage
BIRRONE S.A.R.L ,"AMORE AMARO 0,2L",Beverage
BIRRONE S.A.R.L ,BIRRA SIDRO  IN BOTT DA 0.33L (LOTTO 22/10/25),Beverage
BIRRONE S.A.R.L ,Rif. DDT n. 2211 del 26/06/2024,Beverage
BIRRONE S.A.R.L ,"BIRRA HEAVEN/ZEN, 2 FUSTI DA 24LP (LOTTO 06/01/25)",Beverage
BIRRONE S.A.R.L ,BIRRA BRUSCA IN BOTT DA 0.33L (LOTTO 15/04/25),Beverage
BIRRONE S.A.R.L ,"BIRRA SCUBI, 1 FUSTO DA 24LP (LOTTO 03/11/24)",Beverage
BIRRONE S.A.R.L ,Rif. DDT n. 3475 del 18/09/2024,Beverage
BIRRONE S.A.R.L ,BIRRA MARANEA IN BOTT DA 0.5L (LOTTO 08/09/24),Beverage
BIRRONE S.A.R.L ,SCONTO MERCE BIRRA BRUSCA IN BOTT DA 0.33L - RESO,Beverage
BIRRONE S.A.R.L ,"BIRRA GERICA, 1 FUSTO DA 24LP (LOTTO 06/08/24)",Beverage
BIRRONE S.A.R.L ,Rif. DDT n. 1217 del 18/04/2024,Beverage
BIRRONE S.A.R.L ,SCONTO MERCE PER CAMPIONATURA,Beverage
BIRRONE S.A.R.L ,Rif. DDT n. 1972 del 12/06/2024,Beverage
BIRRONE S.A.R.L ,"BIRRA FUCKIN, 2 FUSTI DA 24LP (LOTTO 24/06/25)",Beverage
BIRRONE S.A.R.L ,Rif. DDT n. 2439 del 10/07/2024,Beverage
BIRRONE S.A.R.L ,Rif. DDT n. 494 del 15/02/2024,Beverage
BIRRONE S.A.R.L ,Rif. DDT n. 4156 del 19/11/2024,Beverage
Cantina di Tortona S.c.a.,OMAGGIO 6 CAVATAPPI,Beverage
Cantina di Tortona S.c.a.,"""BOCCIOLO"" Piemonte Rosato Doc ml 750",Beverage
Cantina di Tortona S.c.a.,"""DERTHONA"" Colli Tortonesi Timorasso Doc 750 ml",Beverage
Cantina di Tortona S.c.a.,"""DELRE"" Colli Tortonesi Favorita Doc 13,5% Vol - ml 750",Beverage
Cantina di Tortona S.c.a.,"OSSONELLA - Vino Rosso 13,5% Vol - ml. 750",Beverage
Cantina di Tortona S.c.a.,----------------,Beverage
Cantina di Tortona S.c.a.,GRAPPA di TIMORASSO  42% vol. cl 50,Beverage
Cantina di Tortona S.c.a.,GRAPPA di BARBERA 42% Vol cl 50,Beverage
CATTANEO SIMONE,VESPUCCI,Beverage
CATTANEO SIMONE,TAAAC,Beverage
CATTANEO SIMONE,AMARO DEL MEGA DIRETTORE GALATTICO,Beverage
CATTANEO SIMONE,RACCHETTONI,Beverage
CATTANEO SIMONE,Astuccio AMARI & LIQUORI,Beverage
CATTANEO SIMONE,GIN DELLA MADONNA,Beverage
CATTANEO SIMONE,CURBAT,Beverage
CATTANEO SIMONE,Astuccio APERITIVI,Beverage
CATTANEO SIMONE,Astuccio RELIGIN,Beverage
CDP SRL,Franciacorta Rosè,Beverage
CDP SRL,Franciacorta Brut,Beverage
EL MUNDO S.P.A.,Rif. Ft. Pro-forma PRF/27 - 08/02/2024,Beverage
EL MUNDO S.P.A.,BIRRA BLOND FUSTO 24L.,Beverage
EL MUNDO S.P.A.,BIRRA SAISON FUSTO 24 L.,Beverage
EL MUNDO S.P.A.,Lotto  31923,Beverage
EL MUNDO S.P.A.,Lotto  19823,Beverage
EL MUNDO S.P.A.,Lotto  0924,Beverage
EL MUNDO S.P.A.,Lotto  24323,Beverage
EL MUNDO S.P.A.,BIRRA TRIPEL   LATTINA 33 cl,Beverage
EL MUNDO S.P.A.,BIRRA ICONIC FUSTO 24 L.,Beverage
F.LLI PELLEGRINI SPA,FRASCA FREISA D'ASTI doc,Beverage
F.LLI PELLEGRINI SPA,FRASCA SEJ MONFERRATO BIANCO doc,Beverage
F.LLI PELLEGRINI SPA,MASSIMAGO DUCA FEDELE VALPOLICELLA,Beverage
F.LLI PELLEGRINI SPA,BRUNO ROCCA LANGHE ROSATO,Beverage
F.LLI PELLEGRINI SPA,Riga ausiliaria contenente informazioni tecniche e aggiuntive del documento,Beverage
LA CANTINA DEI COLLI RIPANI SOC. COOP.,FALERIO DOC  SETTANTASETTE   BTG,Beverage
LA CANTINA DEI COLLI RIPANI SOC. COOP.,SCONTO MERCE: ROSSO PICENO DOC SETTANTASETTE BTG,Beverage
LA CANTINA DEI COLLI RIPANI SOC. COOP.,SCONTO MERCE: FALERIO DOC  SETTANTASETTE   BTG,Beverage
LA CANTINA DEI COLLI RIPANI SOC. COOP.,ROSSO PICENO DOC SETTANTASETTE BTG,Beverage
MILANOVINO S.R.L.,"DI SANTE - BIANCHELLO DEL METAURO ""GIGLIO"" bio",Beverage
MILANOVINO S.R.L.,MANARA - VALPOLICELLA CLASSICO,Beverage
MILANOVINO S.R.L.,"DI SANTE - ROSATO MARCHE ""ILLA"" bio",Beverage
MILANOVINO S.R.L.,"I STEFANINI - VENETO IGT ""GARGANEGA""",Beverage
MILANOVINO S.R.L.,"COMPARINI - CHARDONNAY ""POGGIMELE""",Beverage
MILANOVINO S.R.L.,"VALLA - MALVASIA DEI COLLI PIACENTINI ""21.01""",Beverage
MILANOVINO S.R.L.,SERNI FULVIO LUIGI - BOLGHERI ROSSO TEGOLETO,Beverage
MILANOVINO S.R.L.,FONTANACOTA - PIGATO,Beverage
MILANOVINO S.R.L.,ALESSANDRO DI CAMPOREALE - GRILLO bio,Beverage
MILANOVINO S.R.L.,CORTE FUSIA - FRANCIACORTA ROSE',Beverage
MILANOVINO S.R.L.,CORTE FUSIA - FRANCIACORTA BRUT,Beverage
MILANOVINO S.R.L.,"I STEFANINI - SOAVE DOC ""IL SELESE""",Beverage
MILANOVINO S.R.L.,"VALLE DELL'ACATE - SYRAH ""BELLIFOLLI""",Beverage
MILANOVINO S.R.L.,"BALDISSERO - BARBERA D'ALBA ""GALE'""",Beverage
MILANOVINO S.R.L.,COMPARINI - RINNEGATO bio,Beverage
MILANOVINO S.R.L.,BALDISSERO - DOLCETTO D'ALBA,Beverage
MILANOVINO S.R.L.,Riga ausiliaria contenente informazioni tecniche e aggiuntive del documento,Beverage
MILANOVINO S.R.L.,LA FARRA - PROSECCO DOC TREVISO EXTRA DRY,Beverage
MILANOVINO S.R.L.,ANTONUTTI - RIBOLLA GIALLA IGT VENEZIA GIULIA,Beverage
MILANOVINO S.R.L.,LA MARCA DI S. MICHELE - BASTIAN CONTRARIO bio,Beverage
MILANOVINO S.R.L.,"LA MARCA DI S. MICHELE - VERDICCHIO ""CAPOVOLTO"" bio",Beverage
MILANOVINO S.R.L.,"VILLA MONGALLI - TREBBIANO SPOLETINO ""CALICANTO""",Beverage
Olmo Vini di Marco Suzzani,DI FILIPPO GRECHETTO - cl 75,Beverage
Olmo Vini di Marco Suzzani,Sconti di testata: 10.0%  per aliquota 22.0% (22),Beverage
Olmo Vini di Marco Suzzani,Sconti di testata: 10.0%  per aliquota 0.0% (N1-0% (Natura N1)),Beverage
Olmo Vini di Marco Suzzani,DI FILIPPO ROSSO DI MONTEFALCO - cl 75,Beverage
Olmo Vini di Marco Suzzani,"POGGIO TREVVALLE MORELLINO DI SCANSANO ""Passera"" - cl 75",Beverage
Olmo Vini di Marco Suzzani,"LE ROSE SHIRAZ ""Coccinella"" - cl 75 - OMAGGIO -",Beverage
OPIFICIO CATTANEO SRL,RACCHETTONI,Beverage
OPIFICIO CATTANEO SRL,TAAAC,Beverage
OPIFICIO CATTANEO SRL,OPLA',Beverage
OPIFICIO CATTANEO SRL,GIN DELLA MADONNA,Beverage
OPIFICIO CATTANEO SRL,VESPUCCI,Beverage
SANCIO RICCARDO,Trasporto a cura del Dest. - Porto: FRANCO,Beverage
SANCIO RICCARDO,vino bianco LUMASSINA I.G.T.  Colline Savonesi 2022,Beverage
SANCIO RICCARDO,Corrispettivo comprensivo del Contributo ambientale Conai già assolto,Beverage
SANCIO RICCARDO,vino rosso ROSSO DELL'ORCO,Beverage
SANCIO RICCARDO,Sconti finali - 25.00%,Beverage
SANCIO RICCARDO,"Assolve gli obblighi di cui all'art. 3  del DLGS 198/2021,COME CONVENUTO DALLE PARTI",Beverage
SANCIO RICCARDO,vino bianco PIGATO D.O.C. Riviera Ligure di Ponente 2023,Beverage
SANCIO RICCARDO,DDT n. 000147 - 01/04/2024,Beverage
Societa agricola Savoldi Srl,[DdT 20 - 31/01/24]   box gadget pietraluce,Beverage
Societa agricola Savoldi Srl,"[DdT 20 - 31/01/24]   franciacorta docg rose (l 0,75)",Beverage
Societa agricola Savoldi Srl,"[DdT 20 - 31/01/24]   franciacorta docg brut (l 0,75)",Beverage
Caffe' Pascucci Torrefazione S.p.a.,CAPS CAFFE' MILD PROFESSIONAL PLUS 25 pz,Caffè
Caffe' Pascucci Torrefazione S.p.a.,CAPS CAFFE' RISERVA BIO PROFESSIONAL PLUS 25 pz,Caffè
Caffe' Pascucci Torrefazione S.p.a.,MACCHINA CAPSULE PROFESSIONAL PLUS BIANCA,Caffè
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 08/12/2024 16:59 a 08/12/2024 21:17 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Esselunga - Via Giorgio Washington, 53, Milano da 2024-05-26 11:44 a 2024-05-26 12:33 (W000026-2)",Carburante
BE CHARGE S.R.L.,Sconto 40% BE PREMIUM,Carburante
BE CHARGE S.R.L.,Sessione di ricarica in A1 - Autostrada del Sole da 18/08/2024 16:37 a 18/08/2024 16:49 (IT*F2X*EF2XITA2003*2),Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Giorgio Washington, 53, Milano da 22/09/2024 12:36 a 22/09/2024 16:23 (E004732-1)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 24/11/2024 17:22 a 24/11/2024 22:51 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Digione, 9 da 07/11/2024 00:46 a 07/11/2024 08:28 (806)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Solferino, 68 da 2024-04-05 12:22 a 2024-04-05 12:53 (*EWI*EEW043802*1)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Digione, 9 da 25/12/2024 08:21 a 25/12/2024 10:36 (806)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 17/10/2024 17:22 a 18/10/2024 01:23 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Luigi Pirandello, 20144 Milano MI, Italia da 27/10/2024 22:47 a 28/10/2024 08:24 (1661)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Corso Europa (Parcheggio MD), 22 da 27/10/2024 15:11 a 27/10/2024 15:41 (704)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Esselunga - Via Giorgio Washington, 53, Milano da 05/11/2024 08:11 a 05/11/2024 08:25 (W000026-2)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Luigi Pirandello, 20144 Milano MI, Italia da 07/08/2024 20:48 a 07/08/2024 22:34 (1661)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Esselunga - Via Giorgio Washington, 53, Milano da 27/10/2024 11:01 a 27/10/2024 11:10 (W000026-2)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-01-30 13:49 a 2024-01-30 14:28 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-02-27 17:56 a 2024-02-27 21:58 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Esselunga - Via Giorgio Washington, 53, Milano da 2024-07-25 08:44 a 2024-07-25 09:24 (W000026-2)",Carburante
BE CHARGE S.R.L.,Sessione di ricarica in A1 - Autostrada del Sole da 2024-04-07 11:55 a 2024-04-07 12:20 (IT*F2X*EF2XITA2002*2),Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-05-21 11:21 a 2024-05-21 15:07 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-01-30 16:44 a 2024-01-30 22:59 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-05-16 21:48 a 2024-05-16 22:58 (H000009-3)",Carburante
BE CHARGE S.R.L.,BE PREMIUM,Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Esselunga - Via Giorgio Washington, 53, Milano da 2024-06-28 11:54 a 2024-06-28 12:10 (W000026-2)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 12/09/2024 17:46 a 12/09/2024 21:39 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 17/12/2024 09:43 a 17/12/2024 14:56 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-01-25 17:11 a 2024-01-25 21:34 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Esselunga - Via Giorgio Washington, 53, Milano da 23/12/2024 15:50 a 23/12/2024 16:43 (W000026-2)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-04-11 17:39 a 2024-04-11 19:02 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Luigi Pirandello, 20144 Milano MI, Italia da 2024-06-16 09:47 a 2024-06-16 10:57 (1661)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in via alberto mario, Milano da 2024-04-10 20:18 a 2024-04-10 21:31 (H000428-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-03-29 20:31 a 2024-03-29 22:41 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-07-10 17:24 a 2024-07-10 23:27 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-01-16 17:54 a 2024-01-16 21:24 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-04-08 11:39 a 2024-04-08 15:00 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-02-19 12:21 a 2024-02-19 13:46 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 02/12/2024 10:07 a 02/12/2024 14:50 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Digione, 9 da 2024-06-09 01:23 a 2024-06-09 09:24 (806)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-06-28 18:41 a 2024-06-29 01:14 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 04/09/2024 10:10 a 04/09/2024 14:42 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-02-12 12:24 a 2024-02-12 14:06 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-01-26 23:11 a 2024-01-27 01:18 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Luigi Pirandello, 20144 Milano MI, Italia da 23/08/2024 10:47 a 23/08/2024 12:13 (1661)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Esselunga - Via Giorgio Washington, 53, Milano da 2024-06-19 16:00 a 2024-06-19 17:15 (W000026-2)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 18/09/2024 12:18 a 18/09/2024 13:37 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 24/10/2024 17:36 a 24/10/2024 23:13 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Digione, 9 da 25/08/2024 14:56 a 25/08/2024 18:06 (806)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-05-14 17:39 a 2024-05-14 21:55 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Digione, 9 da 23/08/2024 08:31 a 23/08/2024 09:02 (806)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Cuneo, 1 da 2024-05-01 10:35 a 2024-05-01 11:59 (807)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Digione, 9 da 30/11/2024 01:40 a 30/11/2024 10:19 (806)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-04-04 19:36 a 2024-04-04 22:53 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Digione, 9 da 2024-07-02 23:03 a 2024-07-03 08:53 (806)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-02-12 16:34 a 2024-02-12 23:22 (H000009-3)",Carburante
BE CHARGE S.R.L.,Sessione di ricarica in A26 Autostrada dei Trafori da 2024-03-30 11:49 a 2024-03-30 12:11 (IT*F2X*EF2XITX5101*2),Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 06/09/2024 16:39 a 06/09/2024 22:37 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 02/09/2024 21:42 a 02/09/2024 23:35 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Esselunga - Via Giorgio Washington, 53, Milano da 24/12/2024 10:13 a 24/12/2024 10:39 (W000026-2)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-05-19 11:36 a 2024-05-19 13:19 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Eni Station - Viale Giulio Cesare, 0042, Novara da 2024-01-14 10:12 a 2024-01-14 10:42 (H000371-2)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 24/10/2024 12:09 a 24/10/2024 14:49 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-04-11 19:45 a 2024-04-11 22:59 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Tariffa di extra-sosta durante la sessione di ricarica a Via Digione, 9 da 01/08/2024 19:13 a 02/08/2024 08:03 (806)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-05-28 09:12 a 2024-05-28 10:15 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Esselunga - Via Giorgio Washington, 53, Milano da 08/12/2024 10:14 a 08/12/2024 11:44 (W000026-1)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 28/08/2024 16:58 a 28/08/2024 21:23 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 11/12/2024 17:41 a 12/12/2024 00:13 (H000009-3)",Carburante
BE CHARGE S.R.L.,Sessione di ricarica in Via Marchesi 1 da 2024-02-15 10:59 a 2024-02-15 11:55 (*EWI*EEW044301*2),Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-04-17 18:05 a 2024-04-17 23:24 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 09/09/2024 21:00 a 10/09/2024 00:25 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Digione, 9 da 23/12/2024 19:25 a 23/12/2024 21:40 (806)",Carburante
BE CHARGE S.R.L.,Sconto 40% su ricarica a consumo Polestar Agosto,Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Digione, 9 da 01/08/2024 19:13 a 02/08/2024 08:03 (806)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Autostrada A12 Genova, Via Livorno, Km 40  da 08/08/2024 09:11 a 08/08/2024 09:43 (IT*IOY*E418906)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-05-03 11:40 a 2024-05-03 15:07 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-02-19 15:11 a 2024-02-19 20:20 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-02-24 10:38 a 2024-02-24 16:21 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Luigi Pirandello, 20144 Milano MI, Italia da 22/12/2024 10:39 a 22/12/2024 12:15 (1661)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Digione, 9 da 08/09/2024 19:34 a 08/09/2024 22:03 (806)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 04/11/2024 19:46 a 05/11/2024 08:00 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Esselunga - Via Giorgio Washington, 53, Milano da 2024-03-05 10:22 a 2024-03-05 10:50 (W000026-1)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Digione, 9 da 24/08/2024 10:16 a 24/08/2024 12:37 (806)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Digione, 9 da 22/08/2024 13:30 a 22/08/2024 15:12 (806)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-03-05 11:54 a 2024-03-05 15:12 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Luigi Pirandello, 20144 Milano MI, Italia da 29/07/2024 12:53 a 29/07/2024 17:04 (1661)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Eni Station - Viale Giulio Cesare, 0042, Novara da 06/08/2024 10:57 a 06/08/2024 11:43 (H000371-2)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Esselunga - Via Giorgio Washington, 53, Milano da 2024-07-18 14:34 a 2024-07-18 15:43 (W000026-2)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 05/08/2024 10:21 a 05/08/2024 12:39 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Digione, 9 da 18/08/2024 18:22 a 18/08/2024 21:21 (806)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 19/12/2024 16:55 a 20/12/2024 00:17 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-02-07 12:22 a 2024-02-07 16:10 (H000009-3)",Carburante
BE CHARGE S.R.L.,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-05-28 15:22 a 2024-05-28 19:19 (H000009-3)",Carburante
MARELLI MAURO,"Saldo indennità e onorari professionali relativi all'anno d'imposta 2023: registrazioni contabili, bilancio, adempimenti contabili, dichiarativi fiscali annuali e periodici, altri adempimenti, il tutto se e secondo quanto previsto da mandato professionale e successive richieste integrative.",Commercialista
MARELLI MAURO,Incasso documento al lordo: la ritenuta d'acconto sarà versata a nostra cura entro i termini di legge.,Commercialista
MARELLI MAURO,"Nono acconto indennità e onorari per attività continuative, secondo quanto previsto da mandato professionale e successive richieste integrative.",Commercialista
MARELLI MAURO,Avviso di parcella n. 32 del  5/02/2024,Commercialista
MARELLI MAURO,arrotondamento,Commercialista
MARELLI MAURO,.,Commercialista
MARELLI MAURO,Avviso di parcella n. 102 del 31/05/2024,Commercialista
MARELLI MAURO,Avviso di parcella n. 71 del 10/04/2024,Commercialista
MARELLI MAURO,"Undicesimo acconto indennità e onorari per attività continuative, secondo quanto previsto da mandato professionale e successive richieste integrative.",Commercialista
MARELLI MAURO,Acconto su onorari - acconto su avviso di parcella 223 del 1-10-2024,Commercialista
MARELLI MAURO,Anticipazioni per spese postali e valori bollati,Commercialista
MARELLI MAURO,Avviso di parcella n. 211 del  1/10/2024,Commercialista
MARELLI MAURO,"Quinto acconto indennità e onorari per attività continuative, secondo quanto previsto da mandato professionale e successive richieste integrative.",Commercialista
MARELLI MAURO,Avviso di parcella n. 269 del 10/11/2023,Commercialista
MARELLI MAURO,Anticipazioni per diritti Cciaa/R.I. Deposito bilancio pratica protocollo 620920,Commercialista
MARELLI MAURO,Avviso di parcella n. 118 del  1/06/2024,Commercialista
MARELLI MAURO,Avviso di parcella n. 83 del 10/04/2024,Commercialista
MARELLI MAURO,"Terzo acconto indennità e onorari per attività continuative, secondo quanto previsto da mandato professionale e successive richieste integrative.",Commercialista
MARELLI MAURO,"Primo acconto indennità e onorari per attività continuative, secondo quanto previsto da mandato professionale e successive richieste integrative.",Commercialista
MARELLI MAURO,Avviso di parcella n. 7 del 31/01/2024,Commercialista
MARELLI MAURO,Avviso di parcella n. 204 del 15/09/2023,Commercialista
MARELLI MAURO,Anticipazioni per diritti Cciaa/R.I. Deposito bilancio 2022 - pratica protocollo 873908,Commercialista
MARELLI MAURO,"Secondo acconto indennità e onorari per attività continuative, secondo quanto previsto da mandato professionale e successive richieste integrative.",Commercialista
MARELLI MAURO,"""ravvedimento operoso"", elaborazione importi e predisposizione modello F24",Commercialista
MARELLI MAURO,"Sesto acconto indennità e onorari per attività continuative, secondo quanto previsto da mandato professionale e successive richieste integrative.",Commercialista
MARELLI MAURO,"Quarto acconto indennità e onorari per attività continuative, secondo quanto previsto da mandato professionale e successive richieste integrative.",Commercialista
MARELLI MAURO,"Decimo acconto indennità e onorari per attività continuative, secondo quanto previsto da mandato professionale e successive richieste integrative.",Commercialista
MARELLI MAURO,Avviso di parcella n. 149 del  8/07/2024,Commercialista
MARELLI MAURO,Avviso di parcella n. 298 del 30/12/2023,Commercialista
MARELLI MAURO,"Ottavo acconto indennità e onorari per attività continuative, secondo quanto previsto da mandato professionale e successive richieste integrative.",Commercialista
MARELLI MAURO,Avviso di parcella n. 168 del  8/08/2024,Commercialista
CRISSANTU ANDREA,"Prestazioni professionali per Vostro conto, per adempimenti di amministrazione del personale effettuati durante il 1° trimestre 2024, come da nota pro-forma del 31 maggio 2024",Consulente Lavoro
CRISSANTU ANDREA,"Prestazioni professionali per Vostro conto, per adempimenti di amministrazione del personale effettuati durante il 2° trimestre 2024, come da nota pro-forma del 31 maggio 2024",Consulente Lavoro
CRISSANTU ANDREA,"Prestazioni professionali per Vostro conto, per adempimenti di amministrazione del personale effettuati durante il 4° trimestre 2023, come da nota pro-forma dell'11 febbraio 2024",Consulente Lavoro
CRISSANTU ANDREA,Marca da Bollo virtuale,Consulente Lavoro
